file,library,model,trial,ablation,valid,time_seconds,errors,warnings,source,cpg_file,has_cpg,has_ground_truth,correct,expected_valid
USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401.json,USPSTFStatinUseForPrimaryPreventionOfCVDInAdultsSharedLogicFHIRv401,llama-3.3-70b,2,no_simplify,True,2.1817984580993652,,,groq,USPSTF_Statin_Use_CPG.md,True,True,True,True
Condition_and_Medication_Count_FHIRv401.json,Condition_and_Medication_Count_FHIRv401,llama-3.3-70b,2,no_simplify,True,0.27411746978759766,,,groq,Condition_Medication_Count_CPG.md,True,True,True,True
Chlamydia_Screening_Common_CQL.json,ChlamydiaScreening_CDS_UsingCommon,llama-3.3-70b,2,no_simplify,True,0.43102574348449707,,,groq,Chlamydia_Screening_CPG.md,True,True,True,True
Adult-Weight-Screening-and-Follow-Up-OpenEMR.json,Adult-Weight-Screening-and-Follow-Up-OpenEMR,llama-3.3-70b,2,no_simplify,True,0.40500378608703613,,,groq,Adult-Weight-Screening-and-Follow-Up-OpenEMR_CPG.md,True,True,True,True
Breast-Cancer-Screening-OpenEMR.json,Breast-Cancer-Screening-OpenEMR,llama-3.3-70b,2,no_simplify,True,0.5867152214050293,,,groq,Breast-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Colon-Cancer-Screening-OpenEMR.json,Colon-Cancer-Screening-OpenEMR,llama-3.3-70b,2,no_simplify,True,0.37151241302490234,,,groq,Colon-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Prostate-Cancer-Screening-OpenEMR.json,Prostate-Cancer-Screening-OpenEMR,llama-3.3-70b,2,no_simplify,True,0.4001896381378174,,,groq,Prostate-Cancer-Screening-OpenEMR_CPG.md,True,True,True,True
Depression_screening.json,DepressionScreening_CDS,llama-3.3-70b,2,no_simplify,True,0.2549631595611572,,,groq,Depression_screening_CPG.md,True,True,True,True
Osteoporosis screening.json,Osteoporosis_Screening_CDS,llama-3.3-70b,2,no_simplify,True,0.24103331565856934,,,groq,Osteoporosis-Screening_CPG.md,True,True,True,True
Hypertension-Screening.json,Hypertension-Screening,llama-3.3-70b,2,no_simplify,False,0.8965804576873779,,,groq,Hypertension-Screening_CPG.md,True,True,True,False
Statin-Therapy-for-CVD-Prevention.json,Statin-Therapy-for-CVD-Prevention,llama-3.3-70b,2,no_simplify,False,0.6562449932098389,"The age range in the ELM implementation has an upper limit of 80 years, whereas the CPG requirements specify an upper limit of 85 years.",,groq,Statin-Therapy-for-CVD-Prevention_CPG.md,True,True,True,False
Type-2-Diabetes-Diagnosis.json,Type-2-Diabetes-Diagnosis,llama-3.3-70b,2,no_simplify,False,0.8322021961212158,"The ELM implementation has a mismatch in the HbA1c Laboratory Test value. The CPG requires a value of 6.5%, but the ELM implementation uses a value of 9 g%. The unit and value do not match the CPG requirements. Additionally, the age range in the ELM is correctly implemented as 18 years or older. However, the HbA1c value comparison should be >= 6.5%, not 9 g%. The correct implementation should use the same unit and value as specified in the CPG.",,groq,Type-2-Diabetes-Diagnosis_CPG.md,True,True,True,False
Cervical-Cancer-Screening.json,Cervical_Cancer_Screening_CDS,llama-3.3-70b,2,no_simplify,False,0.793067216873169,,,groq,Cervical-Cancer-Screening_CPG.md,True,True,False,True
Lung-Cancer-Screening.json,Lung_Cancer_Screening_CDS,llama-3.3-70b,2,no_simplify,False,1.0591998100280762,,,groq,Lung-Cancer-Screening_CPG.md,True,True,False,True
AAA-Screening.json,AAA_Screening_CDS,llama-3.3-70b,2,no_simplify,True,0.4276406764984131,,,groq,AAA-Screening_CPG.md,True,True,True,True
Alcohol-Misuse-Screening.json,Alcohol_Misuse_Screening_CDS,llama-3.3-70b,2,no_simplify,True,0.34741950035095215,,,groq,Alcohol-Misuse-Screening_CPG.md,True,True,True,True
Falls-Prevention-Screening.json,Falls_Prevention_Screening_CDS,llama-3.3-70b,2,no_simplify,True,0.15044522285461426,,,groq,Falls-Prevention-Screening_CPG.md,True,True,True,True
Tobacco-Use-Screening.json,Tobacco_Use_Screening_CDS,llama-3.3-70b,2,no_simplify,True,0.16000008583068848,,,groq,Tobacco-Use-Screening_CPG.md,True,True,True,True
Colorectal-Cancer-Average-Risk-Screening.json,Colorectal_Cancer_AverageRisk_Screening_CDS,llama-3.3-70b,2,no_simplify,False,1.1705412864685059,,,groq,Colorectal-Cancer-Average-Risk-Screening_CPG.md,True,True,True,False
Anxiety-Screening.json,Anxiety_Screening_CDS,llama-3.3-70b,2,no_simplify,False,0.8040952682495117,,,groq,Anxiety-Screening_CPG.md,True,True,True,False
