summary_id,accuracy,completeness,organization,conciseness,clinical_utility,overall_quality,comments
S161,4,5,5,5,5,5,Excellent summary capturing all relevant data; minor fatigue discrepancy
S162,5,5,5,5,5,5,Correctly excluded entirely unrelated EHR data
S163,2,4,5,4,3,3,"Excellent, clinically sound, and accurately reflects encounter"
S164,3,4,5,4,3,3,Contains factual errors by ignoring patient's provided history
S165,2,4,5,4,2,2,Factual errors regarding age; conflates current status with acute EHR data
S166,5,5,5,5,5,5,"Misleadingly conflates current presentation with outdated, resolved EHR data"
S167,4,4,5,5,4,4,Correctly identified and noted mismatched EHR data; highly accurate
S168,4,5,5,5,5,5,Accurate and well-structured; minor error on smoking status
S169,3,4,5,5,4,4,Excellent; correctly ignored irrelevant EHR data
S170,3,4,5,5,4,4,"Conflates transcript with complex, outdated EHR medications"
S171,3,4,5,5,4,4,Factual inconsistencies from failing to reconcile reported meds with EHR
S172,4,5,5,5,5,5,"Accurate to transcript but missed critical, contradictory EHR history"
S173,4,5,5,5,5,5,Excellent and highly professional; minor medication discrepancy
S174,2,4,5,4,3,3,Accurate and logical; minor age calculation discrepancy
S175,2,3,5,5,2,2,Correctly ignored EHR but hallucinated fabricated exam and lab findings
S176,2,4,5,4,3,3,"Dangerously ignored extensive EHR history, creating unreliable clinical picture"
S177,2,3,5,4,2,2,Major age error; conflated current status with historical archived EHR entries
S178,4,4,5,5,5,5,Dangerously ignored extensive EHR history in favor of subjective claim
S179,5,5,5,5,5,5,Excellent judgment; correctly ignored irrelevant complex EHR data
S180,4,5,5,5,5,5,Exceptionally comprehensive; minor hallucination of physical exam
S181,4,5,5,5,5,5,Exceptionally well-organized; minor inference of unmentioned medication details
S182,1,4,5,4,2,2,Catastrophically conflated young student with elderly EHR patient
S183,1,4,5,4,2,2,Catastrophic hallucination conflating student with deceased elderly patient
S184,2,3,5,4,2,2,Major factual error ignoring extensive EHR history
S185,2,4,5,4,3,3,Major demographic and historical errors due to hallucinating EHR details
S186,1,3,5,4,2,2,"Catastrophically ignored EHR, hallucinating a college student profile"
S187,2,4,5,5,3,3,"Major age error and inclusion of irrelevant, incorrect EHR history"
S188,2,4,5,4,3,3,Failed to incorporate significant EHR history and active medications
S189,1,1,1,1,1,1,Failed to generate summary; returned technical error
S190,1,4,5,4,2,2,Dangerously hallucinated pediatric summary for elderly EHR patient
S191,4,4,5,5,5,5,Excellent synthesis; correctly identified missing back pain history
S192,2,4,5,4,3,3,Major age error; confusingly conflated current narrative with unrelated EHR
S193,1,4,5,5,2,2,"Catastrophically ignored elderly EHR, hallucinating summary for different patient"
S194,4,4,2,1,2,2,"Accurate HPI but catastrophically disorganized, repetitive past medical history"
S195,2,4,5,4,3,3,Dangerously conflated young graduate student with elderly ESRD patient
S196,2,4,5,5,3,2,Failed to reconcile discrepancy between student transcript and 103-year-old EHR
S197,2,4,5,5,3,3,Significant omissions and contradictions regarding complex EHR medical history
S198,4,5,5,5,5,5,Excellent synthesis; minor age calculation error
S199,1,3,5,4,1,1,Catastrophically conflated female transcript patient with elderly male EHR
S200,1,2,5,5,1,1,"Critically hallucinated identity, ignoring elderly EHR for high school profile"
S201,2,4,5,4,3,3,"Failed to reconcile ""healthy"" subjective status with severe EHR history"
S202,4,5,5,5,5,5,Exceptionally well-structured; high-level observation with minor eGFR error
S203,4,5,5,4,5,5,Excellent and highly professional; minor CKD stage inconsistency
S204,1,4,5,5,2,2,"Catastrophically hallucinated identity, ignoring complex elderly EHR"
S205,4,5,5,5,5,5,Exceptionally comprehensive; minor age calculation discrepancy
S206,3,4,5,4,4,4,Factual inaccuracies regarding age and active insulin medication
S207,3,4,5,5,4,4,"Relied entirely on subjective history, missing critical EHR transplant data"
S208,4,4,5,5,5,5,Well-structured; minor age and social history discrepancies
S209,4,4,5,5,5,5,Excellent; correctly integrated complex EHR transplant history
S210,3,4,5,5,4,4,"Social history errors and conflated hypothyroidism from EHR, but excellent plan"
S211,2,4,5,4,3,3,Significant errors regarding age and active medication status
S212,2,4,5,4,3,3,"Severely compromised by conflating transcript with massive, unrelated EHR history"
S213,2,4,5,4,3,3,"Incorrectly stated no chronic conditions, ignoring critical EHR data"
S214,4,5,5,5,5,5,Excellent and highly professional; handled location discrepancy and complex labs well
S215,1,4,5,5,2,2,"Catastrophically ignored critical EHR data, reporting subjective denial as fact"
S216,4,5,5,5,5,5,Excellent synthesis; appropriately prioritized transcript over messy EHR data
S217,1,2,5,5,2,1,"Dangerously hallucinated young male summary, ignoring complex female EHR"
S218,2,4,5,5,3,3,Significantly failed by ignoring clinically critical EHR history
S219,4,4,5,5,5,5,Excellent; accurately reflects transcript but missed EHR hypertension/obesity
S220,2,3,4,4,2,2,Major hallucination conflating student transcript with elderly chronic EHR
S221,4,5,5,5,5,5,Excellent and highly professional; included critical EHR transplant context
S222,3,4,5,4,4,4,Incorrectly listed outdated EHR medications as currently active
S223,2,4,2,1,2,1,Catastrophic repetitive history dump; conflated student with complex EHR
S224,3,4,5,4,4,4,"Relied on incomplete self-report, missing extensive relevant EHR history"
S225,2,4,5,5,3,3,"Ignored high-risk EHR history, dangerously relying on subjective report"
S226,3,4,5,5,4,4,Ignored active EHR medications and conflated subjective history with unrelated EHR
S227,4,5,5,5,5,5,Exceptionally well-structured; correctly integrated complex comorbidities into plan
S228,2,4,5,5,3,3,Identified EHR mismatch but erroneously incorporated mismatched lab data
S229,2,4,5,4,3,3,Major age error; conflated reported history with unrelated EHR medication data
S230,2,4,5,5,3,3,Major safety risk; ignored complex EHR history for unreliable self-report
S231,1,4,5,5,2,2,"Catastrophically ignored elderly male EHR, identifying patient as young female"
S232,1,2,5,4,1,1,"Dangerously relied solely on self-report, entirely ignoring high-risk EHR"
S233,1,4,5,5,4,2,"Catastrophic identity failure; hallucinated 6-year-old profile, ignoring female EHR"
S234,3,3,5,4,3,3,Conflated current encounter with historical EHR admission details
